SUPPLIER_ID,SUPPLIER_NAME,SUPPLIER_TYPE,CONTRACT_SUM,TOTAL_PAID,WORK_DONE,AMOUNT_TO_PAY,ADVANCE_BALANCE,PAYMENT_RATE_PCT
1,Supplier A,Subcontractor,36463161,33160926,26232834,3302235,0,90.9
2,Supplier B,Subcontractor,10930370,4519854,2426315,6410516,2093539,41.4
3,Supplier C,Subcontractor,25065192,22330881,22148061,2917131,0,89.1
4,Supplier D,Supplier,8887906,5997906,3107906,2890000,2890000,67.5
5,Supplier E,Supplier,4777000,4777000,4777000,0,0,100.0
6,Supplier F,Supplier,3741797,3741797,3741797,0,0,100.0
7,Supplier G,Subcontractor,1760880,1760880,1760880,0,0,100.0
8,Supplier H,Subcontractor,1500000,0,0,1500000,0,0.0
9,Supplier I,Subcontractor,4572000,0,0,4572000,0,0.0
10,Supplier J,Subcontractor,26864155,0,0,26864155,0,0.0
11,Supplier K,Supplier,31874810,21720545,21720545,0,10154265,68.1
12,Supplier L,Subcontractor,2103428,0,0,2103428,0,0.0
13,Supplier M,Subcontractor,1106870,1106870,1106870,0,0,100.0
